title,details,type,type_id,host,date,time,location,link
RecTalks | Building Healthy Habits,"We are creatures of habit, but sometimes it can be difficult to form new healthy habits. During these times it's even more important to focus on our wellbeing, and incorporating healthy habits into our daily routine can help to manage stress, improve our health and increase performance. Our October RecTalk panelists will give us insight into what it means to form a healthy habit, and explore ways to gradually incorporate these into our daily routine!.ABOUT RECTALKSRecTalks are informative and influential discussions with experts in their industries of sport, recreation, physical education and wellness. Hosted by Duke Recreation and Physical Education, our goal is to provide our community with resources and information that promotes the physical, environmental, and mental wellbeing of our university community.FUTURE RECTALK TOPICSDiversity in the OutdoorsNutritionMental WellbeingDiversity in Recreation & SportsPsychology in SportsTechnology",Panel/Seminar/Colloquim,5,Duke Rec & PE,"Wed, Oct 14, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=841772
Graduate Pathway Panel: DNP vs PhD Discussion,"Are you interested in graduate work in nursing but not sure whether a PhD or DNP pathway is right for you? Join DUSON Research Club for a  Zoom-based Graduate Pathway Panel on October 12, 2020 from 5-6 pm, for expert advice from two Duke faculty, Dr. Sharron Docherty, PhD, Director of the DUSON PhD program, and Dr. Katherine Pereira, DNP, Director of the DUSON DNP program.This Zoom event will feature a brief presentation from each panelist and an open Q&A session afterward. Come to ask all your questions about the differences in the pathways, the application process for both programs, and get to know more of your Duke faculty!Please Register here by Midnight, October 11, 2020.For more information, please visit:Duke’s PhD program: https://nursing.duke.edu/academic-programs/phd-program-nursingDr. Docherty: https://scholars.duke.edu/person/doche002.Duke’s DNP program: https://nursing.duke.edu/academic-programs/dnp-program-nursingDr. Pereira: https://scholars.duke.edu/person/perei002.For any questions about the event, please contact Corrie Camalier at corrie.camalier@duke.edu",Panel/Seminar/Colloquim,5,DUSON Research Club,"Mon, Oct 12, 2020",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=820703
Duke Margolis Open House,"Join us at the Duke-Margolis October Open House and kick-off health policy week! Learn about the Duke-Margolis Center and connect with Margolis researchers and faculty. There will also be panelists at the Open House, and they will share their research interests, current initiatives, and career paths. Hope to see you there!Link for Zoom and Registration!",Panel/Seminar/Colloquim,5,Duke Student Collaborative on Health Policy,"Fri, Oct 9, 2020",12 PM – 1 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=848951
DUSON Research Club General Fall Meeting,"Come join DUSON Research Club for our Fall meeting over zoom! We will introduce the board, update members on upcoming events,  advertise for new board members, and do a Q&A at the end.No need to be an official member to come, and no prior research experience required to be involved- just curiosity and commitment to the process of evidence based practice!RSVP below by Wed Oct 7th at midnight.Registration link here:https://forms.gle/Ww44rVZkhHAwFWEz9",Panel/Seminar/Colloquim,5,DUSON Research Club,"Thu, Oct 8, 2020",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=846228
Exploring Nonclinical Careers in Healthcare & Life Science,"This virtual career panel features Duke alumni and professionals working in nonclinical healthcare and life science roles. Join us to learn more about career paths, organizations, job roles, industry trends and essential skills needed. This event is open to Duke undergraduates, graduate students and alumni up to 5 years post-graduation.[]",Panel/Seminar/Colloquim,5,Career Center,"Thu, Oct 8, 2020",4 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=847939
Global Implications of Racism in US Foreign Policy,"American political leaders have largely approached civil rights issues and diplomacy separately. In the context of a renewed movement for racial justice, this conversation with Professor Deonte Harris and AHS President Mohammad Khatami will explore the intersectionality of the two topics by analyzing how American racism has shaped political, social, and economic development around the world. The discussion will detail the origin of institutional racism within American foreign policy and how it has harmed people of color around the world. We will also consider America's evolving role in the world and whether the nation can or should use its military and diplomatic influence to promote global racial equity.",Panel/Seminar/Colloquim,5,The Alexander Hamilton Society,"Fri, Sep 25, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=826995
Revving up the Engine: How to Get your Career Started in Energy,"Want to learn more about how to start a career in the energy industry? Interested in industries like energy consulting, electric vehicles, startups or environmental laws? Come and join this career panel featuring founding members of the Duke Energy Club to talk about their experiences. We have Nathan Hsieh (Project Lead at the Mobility House, an international startup specializing in electric vehicle technologies), Silvia Vieira (Product Marketing Manager at SL Environmental Law Group) and Daniel Ketyer (Former consultant at Deloitte and an MBA candidate)! Please sign up here if you are interested: https://forms.gle/7m8AtcixLV8Fg62dA",Panel/Seminar/Colloquim,5,Duke Energy Club,"Thu, Sep 24, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=820627
Duke Virtual Fall Career Fair,"Our most popular career fair attracts companies across all industries including, but not limited to business, technology, engineering, education, and government. The fair is a great opportunity for employers, students, and Career Center staff to meet and discuss organizations and career opportunities. By participating in the fair, you will gain exposure to opportunities for graduate and undergraduate students across all majors and programs.[]Thanks to our sponsor:",Panel/Seminar/Colloquim,5,Career Center,"Wed, Sep 23, 2020",4 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=802835
Know your Rights!,"As election day nears, getting registered and understanding voter rights and responsibilities is imperative. Join us on Monday, September 21 as we discuss proper practices and info on voting for the presidential election.",Panel/Seminar/Colloquim,5,"Zeta Phi Beta Sorority, Inc.","Mon, Sep 21, 2020",7:20 PM – 9:20 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=773622
GHMU Graduate Student/Alumni Panel,GHMU will be hosting three Duke alumni who are current graduate students (from varying degree types) in the field of global/public health. Duke students interested in graduate school are encouraged to attend.There will be a short Q&A session at the end. Attendees will have the ability to submit questions on Zoom through the Q&A feature throughout the panel.,Panel/Seminar/Colloquim,5,Duke Global Health Major's Union,"Tue, Sep 15, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=798567
Exploring Careers Across Industries: A Duke Alumni Virtual Panel,"A virtual career panel for students to connect with industry professionals to learn about organizations and emerging trends and roles, explore career paths and reflect on how various careers align with interests, skills, and values while considering learning opportunities for a particular industry. Panelist include data analytics, engineering, finance, law, marketing, and research.",Panel/Seminar/Colloquim,5,Career Center,"Tue, Sep 15, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=770986
September Faculty Research Spotlight,"Join the DUSON Research Club for a virtual Faculty Research Spotlight on Dr. Tolu Oyesanya's and Dr. Donna Biederman on September 9th from 4:45-5:45 PM. Dr. Biederman's work focuses on transitional health care programs for the homeless population and housing insecurity (4:45 PM - 5:15 PM); Dr. Oyesanya's research focuses on traumatic brain injury (5:15 PM - 5:45 PM). Both speakers will give a brief talk and Q&A session on their work.Please Register by Midnight Tuesday, September 8, 2020.More Information on the Speakers:Dr. Biederman's research focuses on the transitional care of homeless individuals discharged from ER care while offering promising solutions to challenging issues regarding their future healthcare needs. For more information, please visit: https://scholars.duke.edu/person/donna.biedermanDr. Oyesanya's research emphasizes adult medical care of the moderate-to-severe traumatic brain injury, highlighting the impact of the support on their family members across their treatment process. For more information, please visit: https://scholars.duke.edu/person/Tolulope.Oyesanya",Panel/Seminar/Colloquim,5,DUSON Research Club,"Wed, Sep 9, 2020",4:45 PM – 5:45 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=774779
"Safe(r) Sex: Dating, Relationships and Intimacy During the Pandemic","Is it possible to date during the pandemic, without catching #COVID19? Join our panel of experts on September 2nd for this important #DukeCovidConversation on what dating looks like in the age of Coronavirus.RSVP here: duke.is/Vazgws.",Panel/Seminar/Colloquim,5,Student Wellness Center,"Wed, Sep 2, 2020",2 PM – 3 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=749504
Duke Student Broadcasting Interest Meeting,"Duke Student Broadcasting (DSB) is Duke University's student-run broadcasting network. The organization currently runs as an online multimedia broadcasting website. Through its operations, Duke Student Broadcasting looks to provide Duke audiences with multimedia coverage of the Duke community, while providing education and experience in multimedia production to its various members. Students have the opportunity to create and run their own original shows, from satire news programs to sports recap shows to scripted web series, as well as cover campus events such as sporting games and concerts.Come listen to the exec team share what DSB is all about and ask any questions you have!",Panel/Seminar/Colloquim,5,DUU Duke Student Broadcasting,"Fri, Aug 28, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=760513
Eco-Opportunities Webinar: Sustainability and COVID,"The coronavirus pandemic has sent any sense of normalcy into a state of chaos, a fact which makes it difficult at times to maintain sustainable mindsets and actions. It sometimes feels as though sustainable living goes in complete contradiction to safety protocols. But that doesn't have to be the case. Maintaining a sense of eco-conscientiousness is more important than ever right now, and we want to give students the tools to remain safe, healthy, and sustainable during COVID.Join the Undergraduate Environmental Union for a webinar on how to remain eco-friendly right now, learning from Duke sustainability staff and students working hard to make sure things run smoothly.",Panel/Seminar/Colloquim,5,Environmental Alliance,"Fri, Aug 28, 2020",4 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=749021
"Iran, Race, and the Myth of Whiteness",Join Duke PSA for an engaging discussion onracial categories and whiteness in America andwhat that means for Persian and MENAcommunities at home and abroad,Panel/Seminar/Colloquim,5,Duke Persian Students Association,"Thu, Aug 27, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=744525
"""Things Worth Fighting For - A Conversation with Ambassador Susan Rice",Join AGS for the Fall 2020 Ambassador Dave & Kay Phillips Family International Lecture.,Panel/Seminar/Colloquim,5,Duke Program in American Grand Strategy,"Thu, Aug 27, 2020",6 PM – 7:15 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=754523
Sport Club Showcase - MEN'S ROWING,"Come learn about the Men's Rowing club, hear from current members, and find out how to join our team!",Panel/Seminar/Colloquim,5,Men's Club Rowing,"Fri, Aug 21, 2020",1:20 PM – 1:40 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=749038
Pre-Professional Panel: Welcome to Business and Tech at Duke,"For the first time in Blue Devil history, we will be hosting a collaboration between 5 of Duke's major pre-professional business and tech organizations! With speakers from Delta Sigma Pi, LatinX Business Organization, Black in Business, Catalyst, and Scale & Coin, this panel will introduce attendees to the diverse array of business and tech pre-professional groups available to join on campus. We hope that attendees will not only be able to better know some groups they are interested in joining, but also will be able to have a better understanding of the Duke community overall!",Panel/Seminar/Colloquim,5,Delta Sigma Pi,"Wed, Aug 19, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=745751
I&E Fest - Undergraduate Session,"Interested in learning about innovation and entrepreneurship? Join us for a virtual I&E Fest and learn about more than 30 programs, clubs, and groups that relate to innovation at Duke University. We will host a live session where you can hear from students currently enrolled in our programs and ask your questions. Register here: https://entrepreneurship.duke.edu/ie-fest/",Panel/Seminar/Colloquim,5,Duke Innovation & Entrepreneurship,"Wed, Aug 19, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=733835
Ask DefMo! Q&A Session #1,"Defining Movement (DefMo) is Duke's premier multicultural dance group with members that come from backgrounds in Bollywood, Hip-Hop, Jazz, Ballet, and more! DefMo is all about community and a passion for learning. Each of our members come from a wide variety of interests outside of DefMo but we are bound by a love for movement and for exploring new cultures and styles of dance. We're looking for people of all different identities, dance backgrounds, and levels of dance experience to join our group - all are welcome! We know that auditioning for a dance group can seem daunting, but we truly want anyone and everyone to feel comfortable auditioning for our group. We're so excited by the prospect of dancing with you! This will be an opportunity for those interested in joining Defining Movement to ask current members questions about the group, the audition process, and anything about dance at Duke!",Panel/Seminar/Colloquim,5,Defining Movement Dance Group,"Tue, Aug 18, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=735973
Public Speaking at Duke: An Introduction to Duke's Competitive Groups,"Come and meet with the Duke International Relations Association, Duke Mock Trial, and Duke Moot Court and hear about the different competitive opportunities for those interested in public speaking. Join at https://duke.zoom.us/j/98161938346.",Panel/Seminar/Colloquim,5,Duke International Relations Association (DIRA),"Wed, Aug 12, 2020",3 PM – 4 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=735870
Foreign Policy and Politics: Panel of Duke's Social and Pre-Professional Policy Organizations,"Come and meet with the Duke International Relations Association, the Duke Program in American Grand Strategy, and Polis: Center for Politics. Join at https://duke.zoom.us/j/94842523627.",Panel/Seminar/Colloquim,5,Duke International Relations Association (DIRA),"Tue, Aug 11, 2020",5:30 PM – 6:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=735897
Professional Panel,"This panel focuses on connecting students to wetland scientists and potential pathways for this field. Guest speakers (TBD) will discuss topics on recommended skills, potential jobs, and what they love most in the wetland field. Held online, recorded on zoom.",Panel/Seminar/Colloquim,5,Student Association of Wetland Scientists,"Fri, Apr 23, 2021",5 PM – 8 PM EDT (GMT-4),Zoom,https://dukegroups.com/events/rsvp?id=922089
Town Hall on Facing the Trans Health Crisis,"Join us for this intergenerational and intersectional Town Hall on Facing the Trans Health Crisis. We are bringing together key stakeholders to discuss the legal, medical, emotional, and policy implications of the new proposed legislation in NC and nationally with a particular focus on marginalized communities.Speakers include:Elena Rose Vera (she/her)Executive Director, Trans LifelineDr. Kameryn LeeMD, MSPH, FACOG, Trans Seminarian CohortShelby Chestnut (they/them)Director of Community Organizing and Public Advocacy, The Transgender Law CenterDiego Sanchez (he/him/his)Director of Advocacy, Policy & Partnerships, PFLAG NationalRebby Kern (they/them)Director of Education Policy, Equality NCDr. Kate Whetten (they/ze)Associate Director for Community and Culture, Duke Global Health InstituteProfessor, Public Policy, Nursing, Community and Family Medicine and Global HealthDirector, Center for Health Policy and Inequalities ResearchModerator:Bishop Tonyia Rawls (she/her)Founding Executive Director, Freedom Center for Social JusticeSponsored by: Freedom Center for Social Justice, NAACP, PFLAG, Trans Lifeline, Equality NC, Transgender Law Center, Duke University Sexual and Gender Minority Health Program, Duke Center for Health Policy and Inequalities Research, Duke Global Health Institute, Duke University Office for Institutional Equity, and the Duke University Center for Sexual and Gender Diversity.",Panel/Seminar/Colloquim,5,Center for Sexual and Gender Diversity,"Wed, Apr 21, 2021",7 PM – 8:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1081165
Global Health Senior Panel,"Join GHMU on Monday, April 19th for a panel featuring Duke seniors majoring in global health. Panelists will be sharing their global health undergraduate experiences, their co-major, capstone/thesis experience, and more! Open to all students who undergraduates who are interested in the global health major and recently declared students.",Panel/Seminar/Colloquim,5,Duke Global Health Major's Union,"Mon, Apr 19, 2021",5 PM – 6 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1079103
Sonic Sea Panel Discussion,"Join experts Brandon Southall, Ph.D., Michael Jasny, J.D., and Lee Kindberg, Ph.D. as they discuss the Emmy award-winning film Sonic Sea. The panel of experts will discuss the impacts of human noise on ocean life and describe solutions to address this challenge. The event will also provide attendees with an opportunity to network with oceans noise experts from industry, non-profit, and the private sectors. Access to the film will be provided to participants when they register for the event. This event is co-hosted by the Duke Coastal Society and the Oceans@Duke Student Club. Students from all disciplines are encouraged to join.",Panel/Seminar/Colloquim,5,Duke Chapter of The Coastal Society,"Mon, Apr 19, 2021",5 PM – 6:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1063011
An Evening w/Andrea Jenkins,"Engage in a thought provoking conversation with Andrea Jenkins, who made history in 2017 as the first African American openly trans woman to be elected to office in the United States representing Ward 8 and serving as the Vice-President of the Minneapolis City Council.",Panel/Seminar/Colloquim,5,Student Involvement & Leadership,"Thu, Apr 15, 2021",6 PM – 7:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1066529
ArtsFest: DEMAN Live Cafe: Hear at Duke + Pushkin,"duARTS is excited to partner with DEMAN Live Cafe for their annual ArtsFest to bring Pushkin Industries speakers, including Duke Alumnus Jon Schnaars, to speak. Hear at Duke is Duke's podcast journalism organization, promoting audio storytelling at all levels. This discussion panel will discuss the administrative side of the industry, and how podcast journalists develop and make their stories available to the world.",Panel/Seminar/Colloquim,5,duARTS,"Wed, Apr 14, 2021",8 PM – 9 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1047147
An Evening with Author Mary Adkins,Join the Women's Center and the Baldwin Scholars for a discussion with Duke Alum and author Mary Adkins on her newest book Privilege and intersectionality.,Panel/Seminar/Colloquim,5,Women's Center,"Wed, Apr 14, 2021",6 PM – 7:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1064043
"Moving Forward: The Role of Student Arts Organizations in Promoting Diversity, Equity, and Inclusion in the Duke Community","Featuring round table discussions and speaker panels, this event will explore ways in which student arts organizations at Duke can incorporate a focus on diversity, equity, and inclusion into their own groups in hopes of improving Duke's arts community in these aspects and more.Schedule: 12:30-1 pm welcomes and introductions1 pm - 2 pm: special panelist discussion2 pm - 3 pm: guided reflection and peer roundtableJoin for as much as you can; we are so excited to share these resources and to learn from each other.  Participants can join here: https://duke.zoom.us/j/95974876538",Panel/Seminar/Colloquim,5,duARTS,"Sat, Apr 10, 2021",12:30 PM – 3 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1067944
dPS Fellowship Nonprofits Panel,"As part of the dPS Fellowship Program, which includes 10 mentors and 10 undergraduate mentees, dPS will be hosting a nonprofit speaker panel. We plan on bringing in Connor Kirkpatrick from StudentU and Donna Carrington from CEF to speak to the students.",Panel/Seminar/Colloquim,5,Duke Partnership for Service,"Thu, Apr 8, 2021",5:30 PM – 6:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1051637
MIT Sloan Analytics Conference,"The conference goal is to provide a forum for industry professionals (executives and leading researchers) and students to discuss the increasing role of analytics in the global sports industry. MIT Sloan is dedicated to fostering growth and innovation in this arena, and the conference enriches opportunities for learning about the sports business world. The conference is open to anyone interested in sports.Founded by Daryl Morey (MIT Sloan '00) and Jessica Gelman (HBS '02) in 2006, the Conference is chaired by Gelman and organized by MIT Sloan students.",Panel/Seminar/Colloquim,5,Duke Sports Business Conference ,"Thu, Apr 8, 2021 7:00 AM –","Fri, Apr 9, 2021 7:00 PM EDT (GMT-4)",Private Location (register to display),https://dukegroups.com/events/rsvp?id=899735
From the Field - DEI,Panelists: Michelle Love-Day and Gloriela Iguina-Colon.,Panel/Seminar/Colloquim,5,Policy for the People,"Wed, Apr 7, 2021",6 PM – 7 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=1066316
