title,details,type,type_id,host,date,time,location,link
Luncheon with the Federal Reserve Board,"Interested in public policy, economics, or impactful public service? Come join representatives from the Federal Reserve Board discuss available roles and internships, as well as diversity within the Board.Food Provided (Au Bon Pain)",Lecture/Talk,4,Duke Association for Business Oriented Women,"Tue, Feb 25, 2020",12 PM – 1 PM EST (GMT-5),McClendon 5,https://dukegroups.com/events/rsvp?id=682934
BOW Spring Business Conference,"Join BOW's signature event that will focus on ""Reaching New Heights"", as it invites recognized business leaders from around the world to address BOW members, the Duke community and beyond. The event will feature Joanne Smith, Chief Human Resources Officer and Executive Vice President of Delta, as keynote speaker.Food Provided (ABP)",Lecture/Talk,4,Duke Association for Business Oriented Women,"Sat, Feb 22, 2020",12 PM – 4 PM EST (GMT-5),Penn Pavilion,https://dukegroups.com/events/rsvp?id=667023
2020 Duke-UNC China Leadership Summit,"Duke-UNC China Leadership Summit (CLS) is an annual student-run conference at Duke University and the University of North Carolina at Chapel Hill (UNC) that works to promote a greater understanding of China in a collaborative environment from which delegates can emerge with resources and friendships as future leaders in U.S.-China relations.Now entering its 10th anniversary, the upcoming conference will take place on February 21-23, 2020 with the theme ""Reframing China: Past, Present, Future"". At a time when the rhetoric in Washington towards Beijing increasingly employs the framework of great-power rivalry, we seek to examine the profound underlying changes in the bilateral relationship. More importantly, we want to encourage CLS attendees to go beyond the headline narratives and pursue a deeper view of China that understands how the country's complex historical, cultural and societal conditions shape where we stand now. The three days of the conference will focus on ""past,"" ""present"" and ""future"" respectively to develop a holistic and nuanced perspective on China and U.S.-China relations.http://www.dukeunccls.com/",Lecture/Talk,4,Duke East Asia Nexus,"Fri, Feb 21, 2020 4:30 PM –","Sun, Feb 23, 2020 1:00 PM EST (GMT-5)",Gross Hall,https://dukegroups.com/events/rsvp?id=657716
Alumni Speaker Series 2,"Lots of workshops are about how to ace your technical interview, but how do you know an internship or full-time experience is right for you? Especially within larger corporations, where team culture and products are so different, Ashka Stephen (T'19) speaks about her own experiences on different teams, at different companies, and what she's learned over the years.",Lecture/Talk,4,Catalyst,"Sun, Feb 16, 2020",2:30 PM – 3:30 PM EST (GMT-5),Social Sciences 136,https://dukegroups.com/events/rsvp?id=689142
The Arts at Duke with Richard Riddell,"Richard Riddell serves as Senior Vice President of Duke University and has overseen numerous arts development initiatives in his 28 years at Duke. In this talk, he will be speaking about making the most of the arts at Duke, as well as facilitating breakout sessions on various aspects of the Duke arts experience. Lunch will be provided.",Lecture/Talk,4,duARTS,"Fri, Feb 14, 2020",1:30 PM – 2:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=672321
Promoting Leadership and Gender Equity in the African Diaspora,"Another event during Days of DESTA will bring Semhar Araia, an Eritrean-American social activist, professor, and international lawyer, to campus to speak about the role of diaspora African women in advancing African development and prosperity. Semhar will speak for 30 minutes to give us insight into her upbringing and career path, how she developed her passion for female leadership and produced the Diaspora African Women's Network (DAWN) as a result. We will have a Q&A session and discussion following the lecture. Neomonde will be catered for the event.Food Provided (Neomonde)",Lecture/Talk,4,Duke Ethiopian/Eritrean Student Transnational Association,"Thu, Feb 13, 2020",6:30 PM – 8:30 PM EST (GMT-5),Penn Pavilion Garden Room,https://dukegroups.com/events/rsvp?id=642943
Nadia Murad S.H.A.P.E. Week Capstone Event in Page Auditorium,2018 Nobel Peace Prize Laureate delivers keynote speech; panel and Q&A to follow. Free and open to all students.,Lecture/Talk,4,Duke Student Government,"Sun, Feb 9, 2020",5:30 PM – 6:30 PM EST (GMT-5),Page Auditorium,https://dukegroups.com/events/rsvp?id=653588
Masculinity and #MeToo in the New Decade,"Content warning: Sexual violenceThis event will critically examine how and why men commit the vast majority of instances of sexual violence. Through facilitated discussion, participants of all genders will investigate the ways that masculine norms generate and exacerbate sexual harassment, sexual assault, and rape. We will explore the nature of men's complicity in sexual violence and the way that men can begin to combat rape culture in their personal and professional lives. The discussion will also investigate nuanced perspectives on male and masculine-of-center victimhood/survivorship from sexual assault -- how can we best support male victim/survivors while continuing to acknowledge the ways that these same men may perpetuate tolerance of sexual assault and rape. The event will tie in to the #MeToo movement and draw from its history to consider what the movement could look like in the 2020s, including what role men and masculine-of-center people could or should play in the movement as it continues.",Lecture/Talk,4,Women's Center,"Sat, Feb 8, 2020",2:30 PM – 4 PM EST (GMT-5),Social Sciences Building 113,https://dukegroups.com/events/rsvp?id=669426
The Sex Talk: What is Good Sex,"This event is intended to be a candid discussion with first-year students that reframes conversations surrounding safe/healthy sex to move beyond consent as the only metric for enjoyable or satisfying sex. Together, we will consider what messaging first-year students have received regarding the landscape of sex at Duke and will aim to deconstruct damaging misconceptions. We will discuss honestly what nurturing, fulfilling sex can look like and consider how best to support one another in pursuing sexual experiences consistent with our unique personal desires. We aim to help first-year students consider new perspectives on sex to which they may not have been exposed, including LGBTQIA+ relationships, BDSM, fetishes, etc, and discuss how to navigate familiar and unfamiliar sexual cultures alike. The discussion will also engage with how to identify toxicity or violence in sexual relationships and how to change damaging dynamics.",Lecture/Talk,4,Women's Center,"Tue, Feb 4, 2020",5:30 PM – 8 PM EST (GMT-5),"Marketplace, Duke East Campus",https://dukegroups.com/events/rsvp?id=669406
Does War Make Us Safer? Military Restraint Versus Intervention,"Come see Richard Fontaine, CEO of the Center for a New American Security (CNAS), present on his recent article ""The Nonintervention Delusion: What War Is Good For."" Dr. Simon Miles of the Sanford School of Public Policy will be guiding the discussion. Food and drinks provided! Co-sponsored by Duke AGS.Food Provided",Lecture/Talk,4,The Alexander Hamilton Society,"Tue, Feb 4, 2020",5 PM – 6 PM EST (GMT-5),Sanford 04,https://dukegroups.com/events/rsvp?id=658731
Alumni Speaker Series Part 1,"Two Catalyst alumni, Dorothy Feng and Kiyoon Ko, talk about their experiences and careers in the design and UX engineering field and about the industry itself. All too often, Duke students interested in technology are pipelined into software engineering, thinking it's their only option. Dorothy and Kiyoon speak about their unique experiences, while offering support and advice to attendees.",Lecture/Talk,4,Catalyst,"Sat, Feb 1, 2020",7 PM – 8:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=665802
Building Mixed Reality Applications w/ Azure Spatial Anchors,"At Microsoft, we're working on a broad range of technologies that will enable Mixed Reality (MR) experiences. In this talk, we'll go through some of the work Microsoft is doing in the MR space. We'll cover common MR concepts before diving deeper on Azure Spatial Anchors, a product we released this past February. Azure Spatial Anchors is a service that enables developers to build persistent, collaborative, and cross-platform applications across HoloLens, iOS and Android.",Lecture/Talk,4,Catalyst,"Sat, Nov 9, 2019",1 PM – 2 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=701724
"Harmonizing Healthcare presents Embodied Anatomy: Harmonizing our Breath, Body, Voice and Purpose","For many of us, this is a difficult semester, season, and year. How can we harmonize our voices, thoughts, bodies and breath to assist us in caring for ourselves, each other and the world in this time? Through a 20-minute presentation, 20-minute workshop, and a 20-minute discussion, we will work with the vagus nerve and sound vibration, to find ease in our embodiments and connect to the unique purpose that animates our lives. Through this discussion and practice, we will open ourselves to the possibility of different ways of knowing, which is essential for recovering embodied care in the practice of medicine.",Lecture/Talk,4,Harmonies for Health at Duke,"Thu, Nov 5, 2020",8 PM – 9 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=882676
Latin American Response to COVID-19: A Webinar with Dr. Ricardo Fábrega,"Join Duke Desarrolla and the Center for Latin American and Caribbean Studies (CLACS) for a webinar with Dr. Ricardo Fábrega, current Regional Advisor of Health Services Delivery at the Pan American Health Organization (PAHO), as he discusses the ramifications of the current pandemic and its effect on the Latin American communities and health system. Q&A session to followPlease Register to Receive Link: https://docs.google.com/forms/d/e/1FAIpQLSd7_C1AVXJd0RrDUCz8TgBAa-zwjRn6u1pmYACs7KI4waixMg/viewform?usp=sf_link",Lecture/Talk,4,Desarrolla,"Thu, Nov 5, 2020",5 PM – 6 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=877674
Interprofessional Micro-aggressions Panel,"This panel will address how to deal with racially-driven micro-aggressions in the workplace, specifically in healthcare.",Lecture/Talk,4,DUSON Fusion,"Wed, Nov 4, 2020",5:30 PM – 6:30 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=850445
Chinese Tea House Course Tea Tasting,"In the Chinese Tea Culture and History house course, students will learn about the culture, history, and brewing techniques of Chinese tea dating back to over 2000 years ago. The classes will consist of lectures, discussions, videos and tea ceremony demonstrations. There will also be an co-curricular experiential learning component of hosting tea tastings among groups of students on campus outside of class. Students will taste some of the most famous examples of Chinese artisan teas.",Lecture/Talk,4,Duke CommuniTEA,"Tue, Nov 3, 2020",5:45 PM – 7 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=854057
"Transforming the Vote feat. Cornell William Brooks, former NAACP President and CEO","Join DUU Speakers and Stage for 'Transforming the Vote feat. Cornell William Brooks' on Monday, November 2, at 8pm via Zoom webinar. From voter suppression to the Black Lives Matter movement, Cornell will be discussing a number of topics, followed by a 15-minute audience question and answer.ABOUT CORNELL WILLIAM BROOKSA fourth-generation ordained minister, civil rights attorney, social justice activist, coalition builder and writer, Cornell Brooks served as the 18th President and CEO of the NAACP. While there, he led the organization in securing 11 victories against voter suppression in 12 months. Brooks united groups as diverse as the AFL-CIO, Sierra Club and National LGBTQ Task Force.A graduate of both Head Start and Yale Law School, Brooks is a champion of the transformative power of education and considers himself “a grandson, heir and a beneficiary” of the landmark Brown v. Board of Education decision argued by NAACP litigator Thurgood Marshall. He was called to the ministry while studying political science at Jackson State University, later becoming a Martin Luther King Scholar and earning a Master of Divinity from the Boston University School of Theology. Prior to joining the NAACP, Brooks was the president of the New Jersey Institute for Social Justice and worked as a civil rights attorney, housing and social justice advocate and as a fourth-generation minister in the African Methodist Episcopal Church.He also followed in the footsteps of his grandfather by running for Congress as an impassioned voice for public education, fiscal responsibility and aordable healthcare. He attributes his interest in healthcare to his father’s experiences as a physician in an African American community struggling with disparities in care. Brooks served for many years on the East Orange Hospital Board of Trustees and lead the NAACP’s national agenda to improve the health and well-being of African American families and families of color. Upon leaving the NAACP, he served as a fellow at Harvard Kennedy School’s Institute of Politics.He also explores new horizons such as the role of technology in achieving diversity and promoting diversity as a “cause” for cause marketing. Ever-aware of his own life-changing experience inspired by a powerful speaker, Brooks views each engagement as having the potential to transform and touch the hearts and minds of his audience.Follow Cornell on Twitter @CornellWBrooks",Lecture/Talk,4,DUU Speakers and Stage,"Mon, Nov 2, 2020",8 PM – 9 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=871889
"""The Other Dimensions"" Series: ""Celebration of Anahita, Abanegan, The Clean Water on Earth and the Purity of the World"", Dr. G. A. Sarami","In GSAID, we believe that life has numerous important dimensions. We are going to talk about them to shed a light on them in the talk series ""The other dimensions"" to invite the experts in different directions of life to tell us their story.Aban (November), the other name of the Aredwi of Sur-Anahita, symbolizes the clean waters on the earth and the purity of the world. Anahita has had a valuable place in Iranian myths.The Iranians went to the near spring to celebrate the Abad Egan celebration of water and read a portion of the Avesta prayer called Abzour for the flow of running water.10th Aban (November), Celebration of Aban-gan.The Ab (water) is collected in Aban is in Avesta and in its later part in Sanskrit Ape. This element is like the other elements of fire, air and soil in ancient Iranian religion. And the Iranians praised these four elements (they did not worship), which are the basic of life (and today the Zoroastrians regard them as pure and praised them as they used to, like the angel. On top of which we salute the running water, we kept the waters clean, respectfully for the water angel.Heriot says (""the Iranians do not urinate in the water they don't spit and wash their hands"") The Greek geographer Strabane says (""The Iranians do not wash themselves in the current water and the carcasses and generally they don't throw in what is dirty.Situated on the highest floor of the sky, it has an adorned house on every shore of the lake, with a brilliant window barrier and a thousand lush pillars. Through the clouds of the sky, he orders rain, snow, and hail from Ahuramazda's command. Anahita temples and shrines were usually built on rivers which are the names of the girl (BE BE) are well known and usually on the side of the water flow, could be the remains of the temples.Reference: https://chaparpersiantravel.com/news/celebration-of-abadegan/",Lecture/Talk,4,Graduate Student Association of Iranians at Duke,"Sat, Oct 31, 2020",6:45 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=889584
Queeristan: Homosexuality in Islam with Scott Kugle,"Scott Kugle is a Professor of South Asian and Islamic Studies at Emory University and received his doctorate from Duke University. He is the author of multiple works exploring the intracacies of homosexuality and queer identity according to Islamic scripture . He will be discussing his research from his most recent book ""Homosexuality in Islam: Critical Reflection on Gay, Lesbian and Transgender Muslims.""",Lecture/Talk,4,Jas┼½r Magazine,"Thu, Oct 29, 2020",5 PM – 6:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=876460
Chinese Tea House Course Tea Tasting,"In the Chinese Tea Culture and History house course, students will learn about the culture, history, and brewing techniques of Chinese tea dating back to over 2000 years ago. The classes will consist of lectures, discussions, videos and tea ceremony demonstrations. There will also be an co-curricular experiential learning component of hosting tea tastings among groups of students on campus outside of class. Students will taste some of the most famous examples of Chinese artisan teas.",Lecture/Talk,4,Duke CommuniTEA,"Tue, Oct 27, 2020",5:45 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=854056
The Jews Are Coming: Biblical Satire and Modern Israeli Culture,"Throughout modern Israeli history, satire has evolved as a powerful and ubiquitous outlet for social, religious and political commentary. Ha'Yehudim Ba'im (The Jews Are Coming) is an Israeli satirical TV show that first aired in 2014 and turns to the Holy Bible, the Jewish past and other themes in Zionist/Israeli history to tease and provoke contemporary Israel. Often sparking controversy, this show touches on many sensitive subjects and polemics.Join us for a special event with Professors Sarah Baker, Marc Brettler, Shai Ginsburg and Eli Sperling as we watch clips of Ha'Yehudim Ba'im and unpack some of the major themes present in the show discussing what they tell us about contemporary Israel.This event can be accessed via the following zoom link:  https://duke.zoom.us/j/94248501972Meeting ID: 942 4850 1972Sarah Baker is Assistant Professor Of The Practice in Asian and Middle Eastern Studies and has a Ph.D. in Middle Eastern Languages and Cultures (with a specialty in Hebrew Bible/Ancient Near East) from the University of Texas at Austin, where she taught both Biblical and Modern Hebrew for several years.  Her research and publications engage the topics of Hebrew language pedagogy, the social significance of biblical texts for the communities that composed and transmitted them, and clarifying linguistic and literary features of these texts in order to achieve more precise readings. Her present research focuses on practical techniques for fostering genuine language acquisition in the ancient language classroom by integrating key principles of modern language pedagogy.Marc Zvi Brettler is the Bernice and Morton Lerner Professor in Judaic Studies.  He earned his B.A., M.A., and PhD from Brandeis University, where he previously served as Dora Golding Professor of Biblical Studies. He researches biblical metaphors, the Bible and gender, biblical historical texts, the book of Psalms, and the post-biblical reception of the Hebrew Bible, including in the New Testament. He is a co-founder of the website thetorah.com, which integrates critical and traditional methods of studying the Bible.  His many books and publications include The Jewish Study Bible, for which he won the National Jewish Book Award; and, most recently, The Bible With and Without Jesus: How Jews and Christians Read the Same Stories Differently, co-authored with Amy-Jill Levine, with whom he also co-authored The Jewish Annotated New Testament.Shai Ginsburg is Associate Professor and Chair of Asian and Middle Eastern Studies whose work focuses on Israel and its culture in its relation to Jewish nationalism and its variants.   He holds a PhD from the University of Michigan, an MA and BA from Hebrew University, and has written extensively on Israeli and Jewish-international cinema, Hebrew literature, Israeli historiography and Jewish politics of the 19th and 20th century.  In addition to his many publications, he is the author of Rhetoric and nation: The formation of Hebrew national culture, 1880–1990, and the co-author of Jews and the Ends of Theory.  He is also the Director of the Duke GameLab which explore games and gaming throughout history and in contemporary society, from local to global contexts.  His current focuses on how cultural works shape the political imagination and conversely, how political engagement shapes perceptions of culture, society and history.Eli Sperling is the Post-Doctoral Associate in Asian and Middle Eastern Studies and has a PhD from Ben Gurion University of the Negev and an MA in contemporary Middle Eastern history from Tel Aviv University.  His research focuses on the proliferation and use of Hebrew music from Palestine in the American Jewish community between 1920-1948. He investigates how this music played a role in a greater process through which varying streams of transnational Zionism became enmeshed in American Jewish institutional, congregational, educational and communal life.",Lecture/Talk,4,Jewish Life at Duke,"Sun, Oct 25, 2020",1:30 PM – 3 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=868577
Chinese Tea House Course Tea Tasting,"In the Chinese Tea Culture and History house course, students will learn about the culture, history, and brewing techniques of Chinese tea dating back to over 2000 years ago. The classes will consist of lectures, discussions, videos and tea ceremony demonstrations. There will also be an co-curricular experiential learning component of hosting tea tastings among groups of students on campus outside of class. Students will taste some of the most famous examples of Chinese artisan teas.",Lecture/Talk,4,Duke CommuniTEA,"Tue, Oct 20, 2020",5:45 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=854055
Harmonizing Healthcare: Perspectives on Art's Role in Medicine,"Join us for an afternoon with Priya Alagesan, former Harmonies for Health President and current second-year Duke Medical Student, as she shares her experiences from her time as an undergraduate at Duke to her current time at DukeMed. She will also speak to how music has inspired her path and how it has helped her find meaning and connections in what she does.",Lecture/Talk,4,Harmonies for Health at Duke,"Sat, Oct 17, 2020",4 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=859978
Guest Speaker Navid Negahban,Guest Speaker Navid Negahban- Stigma of being Persian and not in STEM,Lecture/Talk,4,Duke Persian Students Association,"Thu, Oct 15, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=852701
Neuroscience Major Info Session,"Interested in the Neuroscience Major or Minor? Want to meet others who are interested in neuroscience? Join NMU for a virtual info session to learn more about Duke neuroscience-related opportunities, research, courses, and major requirements on Wednesday, October 14th from 5-6 PM EDT. NMU exec members, Dr. White (Director of Undergraduate Studies), and other Neuroscience faculty will give a short presentation and will be there to help answer any questions that you may have. A Zoom link will be sent out closer to the date, so stay tuned!",Lecture/Talk,4,Neuroscience Majors' Union,"Wed, Oct 14, 2020",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=816360
"Duke Energy, Justice, and NC WARN","Hear from Madeline Parker on Duke Energy, its role in environmental justice issues, and what NC WARN is doing about it! Madeline Parker is the Youth Climate Justice Organizer for NC WARN, an organization that is pushing Duke Energy to move away from fossil fuels, working in partnership with social justice, environmental, consumer protection, housing, labor and faith allies.Register here by 5:15PM EST the day of the event: http://tinyurl.com/y23xxyes",Lecture/Talk,4,Undergraduate Environmental Union,"Tue, Oct 13, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=860105
Chinese Tea House Course Tea Tasting,"In the Chinese Tea Culture and History house course, students will learn about the culture, history, and brewing techniques of Chinese tea dating back to over 2000 years ago. The classes will consist of lectures, discussions, videos and tea ceremony demonstrations. There will also be an co-curricular experiential learning component of hosting tea tastings among groups of students on campus outside of class. Students will taste some of the most famous examples of Chinese artisan teas.",Lecture/Talk,4,Duke CommuniTEA,"Tue, Oct 13, 2020",5:45 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=854054
Health Policy Week: Q&A with Anjali Boyd,"Environmental Alliance and the Student Collaborative on Health Policy will be hosting a virtual Q&A with Nicholas School phD student and Durham native Anjali Boyd! Anjali is a candidate for Durham Soil and Water Conservation District Supervisor in the upcoming election, in addition to being an environmental educator in Durham and a student of marine ecology. She will share her expertise on environmental health issues in Durham and discuss the intersections of conservation, health, and environmental justice.This event is occurring as part of Health Policy Week, which is ongoing from 10/12-10/16.",Lecture/Talk,4,Environmental Alliance,"Tue, Oct 13, 2020",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=849824
Chinese Tea House Course Tea Tasting,"In the Chinese Tea Culture and History house course, students will learn about the culture, history, and brewing techniques of Chinese tea dating back to over 2000 years ago. The classes will consist of lectures, discussions, videos and tea ceremony demonstrations. There will also be an co-curricular experiential learning component of hosting tea tastings among groups of students on campus outside of class. Students will taste some of the most famous examples of Chinese artisan teas.",Lecture/Talk,4,Duke CommuniTEA,"Tue, Oct 6, 2020",5:45 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=854042
Catalyst x Dylan Barbour,"Love the Bachelor/Bachelorette? Interested in start-ups? Don't miss Duke Catalyst's upcoming (virtual) Q&A with Dylan Barbour, co-founder of the social good startup Vizer and contestant on the shows the Bachelorette and Bachelor in Paradise!On Monday, October 5th from 8-9pm EST Dylan will be speaking about his experiences with entertainment and technology, as well as answering questions. Register and presubmit questions here: https://airtable.com/shrzp0g0euY6H1laF.­ƒî╣ RSVPs and questions are due 11:59pm on Friday, October 2nd ­ƒî╣",Lecture/Talk,4,Catalyst,"Mon, Oct 5, 2020",7 PM – 8:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=861690
History of Latinx Students at Duke,"Join us in a presentation from Duke Alumna, Elizabeth Barahona for Latinx Heritage Month! She will discuss the findings of her senior thesis, ""The History of Latinx Students at Duke University,"" which investigates how Latinx students racially identified themselves since their arrival at Duke in 1926 and how the Duke University administration identified them, at a time when Duke felt encapsulated in a Black/White racial paradigm.",Lecture/Talk,4,Lambda Theta Alpha Latin Sorority Inc.,"Sat, Oct 3, 2020",6 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=831351
Juhood Spotlight: Roisin Tapponi,"Join us for Juhood Spotlight featuring Roisin Tapponi. Tapponi is a curator, writer, editor, and researcher based in London. In 2018, she founded Habibi Collective, a digital archive and curatorial platform for women's filmmaking from the Middle East and North Africa. She is currently developing the first independent streaming service for MENA cinema, SHASHA Movies Ltd. Tapponi will talk about her journey, her work with Habibi Collective, and the MENA film industry. You won't want to miss this!",Lecture/Talk,4,Jas┼½r Magazine,"Mon, Sep 28, 2020",3 PM – 4:15 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=796222
Elevate Pep Talk,Please join us for an event with Elevate! Kaushik Ravi where he will talk about what to do in a post-banking career!,Lecture/Talk,4,Duke Association for Business Oriented Women,"Wed, Sep 23, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=812869
Study Away at Duke: Planning for the Future,Join us for a Duke Study Away information session. Learn more about your options to earn credits and engage in experiential learning while studying away. Ask questions to experts from the Global Education Office (GEO) and Study Away Student Ambassadors.There will be a global trivia contest during this info session. The winner will get a custom piece of GEO gear.,Lecture/Talk,4,Global Education Office,"Wed, Sep 23, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=770595
