title,details,type,type_id,host,date,time,location,link
Fashion Show,An annual fashion show hosted by the Alphas to celebrate and unite students from all walks of campus. It will close our our annual Alpha Week (a week with one everyday highlighting the work we do on campus).Food Provided (Hors d'oeuvres and punch),Social,2,Alpha Phi Alpha Fraternity Inc. (Kappa Omicron),"Fri, Feb 21, 2020",7 PM – 10 PM EST (GMT-5),Keohane Atrium,https://dukegroups.com/events/rsvp?id=679684
Duke TASA Zongzi x Mahjong Night,"Come join TASA on the night of Friday, February 21, for zongzi and mahjong! All levels of Mahjong experience are welcome!",Social,2,Taiwanese American Student Association,"Fri, Feb 21, 2020",6 PM – 9 PM EST (GMT-5),McClendon Tower Level 5,https://dukegroups.com/events/rsvp?id=685357
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Feb 21, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=648214
Duke China Care Playgroup Event,Playgroup event for adopted Chinese children from around the Triangle pertaining to some aspect of Chinese culture,Social,2,Duke China Care,"Sun, Feb 16, 2020",2 PM – 3:30 PM EST (GMT-5),West Duke 106,https://dukegroups.com/events/rsvp?id=647612
The 46th Annual Viennese Ball,"The Duke Wind Symphony presents the 46th annual Viennese Ball! Join us for an evening of live Austrian Waltz and Polka music, with professional dance workshops for all skill levels and a waltz performance by our Promenade dancers. There will be hors d'oeuvres, beverages and a photo booth all evening. Save the date: Saturday, February 15th from 7-11PM at the Freeman Center. The ball is open to all - dance the night away with us as we transport you to an elegant Austrian soirée!",Social,2,Duke University Wind Symphony,"Sat, Feb 15, 2020",7 PM – 11 PM EST (GMT-5),Freeman Center for Jewish Life,https://dukegroups.com/events/rsvp?id=642948
Black Love,Rollerskating at Wheels Fun Park,Social,2,Black Student Alliance,"Sat, Feb 15, 2020",6 PM – 9 PM EST (GMT-5),Wheels Fun Park,https://dukegroups.com/events/rsvp?id=653669
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Feb 14, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=648213
GANO Spring Cultural Potluck,"This event is part of GANO's programming each semester, in which tutees and tutors are encouraged to converse and spend time together in an informal setting during which dinner will be provided.Food Provided",Social,2,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Feb 11, 2020",6:30 PM – 8 PM EST (GMT-5),Carr 114,https://dukegroups.com/events/rsvp?id=652963
Catalyst Round 2 Social,Opportunity for Round 2 rushees to socialize with Catalyst members!,Social,2,Catalyst,"Fri, Feb 7, 2020 10:00 PM –","Sat, Feb 8, 2020 12:00 AM EST (GMT-5)",TBD,https://dukegroups.com/events/rsvp?id=672656
Free Movie Screening: Ad Astra,Free movie screening in Griffith Theater at 7 & 10 PM.,Social,2,DUU Freewater Presentations,"Fri, Feb 7, 2020",10 PM – 11:55 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=677100
Brothers Breaking Bread,"Brothers Breaking Bread is a series of social events hosted by Black Men's Union that provides a space for black men to congregate and discuss certain topics. In this edition, BMU members that are upperclassmen will be providing advice on how black men on campus should conduct themselves, as well as general advice related to thriving at Duke and having an overall enjoyable experience here. Food will also be servedFood Provided (Popeyes)",Social,2,Black Men's Union,"Fri, Feb 7, 2020",5 PM – 7 PM EST (GMT-5),CMA Resource Room,https://dukegroups.com/events/rsvp?id=653585
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Feb 7, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=648212
Free Movie Screening: Ad Astra,Free movie screening in Griffith Theater at 7 & 10 PM.,Social,2,DUU Freewater Presentations,"Thu, Feb 6, 2020",10 PM – 11:55 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=677099
Treat Yourself Tuesdays: SHAPE Week Edition,"This Treat Yourself Tuesday will offer students a space to relax during Sexual Harassment and Assault Prevention and Education (SHAPE) Week and reflect through art and music. We welcome everyone to paint canvas tote bags, eat snacks, and chill with us!Food Provided",Social,2,Women's Center,"Tue, Feb 4, 2020",6 PM – 7:30 PM EST (GMT-5),Women's Center,https://dukegroups.com/events/rsvp?id=669439
Duke Catholic Center Super Bowl Party,"A gathering of students to celebrate one another's company through camaraderie, food, and football.",Social,2,Duke Catholic Center (Undergraduate Students),"Sun, Feb 2, 2020",6 PM – 10 PM EST (GMT-5),"Falcone-Arena House (402 N. Buchanan Blvd., Durham, NC 27701)",https://dukegroups.com/events/rsvp?id=643567
Duke China Care Playgroup Event,Playgroup event for adopted Chinese children from around the Triangle pertaining to some aspect of Chinese culture,Social,2,Duke China Care,"Sun, Feb 2, 2020",2 PM – 3:30 PM EST (GMT-5),West Duke 106,https://dukegroups.com/events/rsvp?id=647595
Duke TASA Lunar New Year Celebration,"Come join TASA for a night with lots of Nian Gao and dumplings, along with games like Mahjong!File Attachments:Food Provided (We will be having traditional Nian Gao, or Lunar New Year Cake, as well as dumplings at our event. All dumplings will be store-bought pre-cooked and frozen, and only need to be boiled to be served. The Nian Gao is also pre-made, and only need to be fried so that they can be at a good temperature to eat.)",Social,2,Taiwanese American Student Association,"Fri, Jan 31, 2020",6 PM – 9 PM EST (GMT-5),McClendon 5,https://dukegroups.com/events/rsvp?id=658933
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Jan 31, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=648211
Thursday Funday / Big Little Bonding,"This event will give members the opportunity to socialize with their ""siblings"" and play fun games. The event is open to EVERYONE.File Attachments:",Social,2,Duke Diya (South Asian Students Association),"Thu, Jan 30, 2020",6 PM – 8 PM EST (GMT-5),Keohane Atrium,https://dukegroups.com/events/rsvp?id=667809
Brothers Breaking Bread,"Brothers Breaking Bread is a series of social events hosted by Black Men's Union that provides a space for black men to congregate and discuss certain topics. In this edition, BMU members that are upperclassmen will be providing advice on how black men on campus should conduct themselves, as well as general advice related to thriving at Duke and having an overall enjoyable experience here. Food will also be servedFood Provided (Popeyes Chicken)",Social,2,Black Men's Union,"Fri, Jan 24, 2020",5 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=653579
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Jan 24, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=648210
The Archive's Salon Poetry Reading,"Salon is The Archive's yearly celebration of poetry, with students and faculty coming to share their writing over free food.",Social,2,The Archive,"Thu, Jan 23, 2020",6 PM – 8 PM EST (GMT-5),Coffeehouse (East Campus),https://dukegroups.com/events/rsvp?id=647471
Free Movie Screening: Hustlers,"Welcome back to spring 2020! Kick off our spring semester schedule this weekend with Hustlers in Griffith Theater at 7 and 10 PM, Friday and Saturday!",Social,2,DUU Freewater Presentations,"Sat, Jan 18, 2020",10 PM – 11:55 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=644928
Free Movie Screening: Hustlers,"Welcome back to spring 2020! Kick off our spring semester schedule this weekend with Hustlers in Griffith Theater at 7 and 10 PM, Friday and Saturday!",Social,2,DUU Freewater Presentations,"Sat, Jan 18, 2020",7 PM – 9 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=644896
Free Movie Screening: Hustlers,"Welcome back to spring 2020! Kick off our spring semester schedule this weekend with Hustlers in Griffith Theater at 7 and 10 PM, Friday and Saturday!",Social,2,DUU Freewater Presentations,"Fri, Jan 17, 2020",10 PM – 11:55 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=644903
Free Movie Screening: Hustlers,"Welcome back to spring 2020! Kick off our spring semester schedule this weekend with Hustlers in Griffith Theater at 7 and 10 PM, Friday and Saturday!",Social,2,DUU Freewater Presentations,"Fri, Jan 17, 2020",7 PM – 9 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=644895
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Jan 17, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=647734
Free Movie Screening: Downton Abbey,Welcome back to spring 2020! Kick off our spring semester schedule with a Thursday screening of Downton Abbey in Griffith Theater at 7 and 10 PM!,Social,2,DUU Freewater Presentations,"Thu, Jan 16, 2020",10 PM – 11:55 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=644892
Free Movie Screening: Downton Abbey,Welcome back to spring 2020! Kick off our spring semester schedule with a Thursday screening of Downton Abbey in Griffith Theater at 7 and 10 PM!,Social,2,DUU Freewater Presentations,"Thu, Jan 16, 2020",7 PM – 9 PM EST (GMT-5),Griffith Theater,https://dukegroups.com/events/rsvp?id=644891
Founders Day Celebration,At this event attendees will be making vision boards while also learning more about our organization and celebrating 107 years since our founding.Food Provided,Social,2,"Delta Sigma Theta Sorority, Inc.","Mon, Jan 13, 2020",6:15 PM – 8:15 PM EST (GMT-5),Mary Lou Williams Center for Black Culture,https://dukegroups.com/events/rsvp?id=642853
Psi U-lympics,"Team up with current Psi U members to complete cooperative challenges for points! Our hand-crafted challenges will be engaging and multi-disciplinary, so everyone will have their moment to shine and contribute! Winners will be rewarded with prizes of varying quality.A meal is not provided, so attendees are encouraged to eat beforehand.",Social,2,Psi Upsilon,"Mon, Jan 13, 2020",6 PM – 8:30 PM EST (GMT-5),Duke Center for Sexual and Gender Diversity,https://dukegroups.com/events/rsvp?id=642743
Super Smash Bros. Ultimate Tournament benefiting Peaches and Mamabean,"IMPORTANT: If you plan on playing in the tournament, please enter using this Google Form no later than 24 hours prior to the start time: https://forms.gle/RE8aVHb94yUWy4Wd6We will be hosting a 1v1, double-elimination Super Smash Bros. Ultimate tournament at The Bolt in Edens on West Campus! All funds raised will go directly to the Peaches and Mamabean (the cats) health fund which covers food, vet bills, vaccinations, flea medication, and more. We are coordinating with the primary student caretakers of the cats to make this possible. All skill levels are welcome! You'll be winning just by pitching in to take care of Peaches and Mamabean!You are encouraged to donate $6 upon entry, as this will be the sole means of fundraising for the afternoon. That amount is flexible, and you may contribute more or less than that amount as you are able. Hope to see you there!All entrants are expected to be present at 3:00PM to begin matches. If an entrant is not present for their match, it will be counted as a loss against them. If you have questions about scheduling or other aspects of the event, please email Harry Ross at hgr8@duke.edu.A meal will not be provided, so attendees are encouraged to eat beforehand.",Social,2,Psi Upsilon,"Sun, Jan 12, 2020",3 PM – 6 PM EST (GMT-5),"The Bolt, Edens Quad, West Campus",https://dukegroups.com/events/rsvp?id=642732
Krafts & Drafts,"Hanging out with Cube members, making Kraft mac and cheese, and drafting startup ideas.",Social,2,The Cube,"Sat, Jan 11, 2020",9:30 PM – 11:45 PM EST (GMT-5),Craven X,https://dukegroups.com/events/rsvp?id=645458
Duke@Nite Trivia,"Duke@Nite's regular trivia, in a new online format! Show off your knowledge against your friends and win awesome prizes!This week, we're collaborating with NASA, Duke's Native American Student Alliance, for Native American Trivia. Plus, after hearing some feedback, we brought the general round back! Join us on Thursday for 2 rounds of Native American trivia and 1 round of general, as well as your chance to win prizes!",Social,2,DUU Duke @ Nite,"Thu, Nov 5, 2020",9 PM – 10 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=752453
English Conversation Club,"Each Monday, International House provides a casual, small-group setting where all members of the Duke community--students, scholars, spouses, and staff--can practice conversational English.Topics include American culture, social systems, and issues related to daily life. Come and you will have chances to share your experience in the U.S. with others while practicing conversational English with the help of Duke staff volunteers. Through discussions in small groups, you will also learn about other cultures from various countries.In 2020 Fall semester, the English Conversation Club runs every Monday from 7:30 to 8:30pm (Eastern Time) virtually on Zoom. You must reigster through https://bit.ly/ECC-2020-Fall to attend the club. The Zoom link will be available after registration.Please email Ling.jin@duke.edu for more information.",Social,2,Duke International Student Center,"Mon, Nov 2, 2020",7:30 PM – 8:30 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=766389
DIY Costume Challenge,Thinking of making your own halloween costume this year? Send us a pic of your DIY costume for a chance to win a $25 ThredUp gift card! All you need to do is (1) follow us on Instagram @dukefashionexchange and (2) DM a picture of you (or a friend or a pet) in the costume to be entered in the competition! The winners will be chosen on October 31st.,Social,2,Duke Fashion Exchange,"Sat, Oct 31, 2020 12:00 PM –","Sun, Nov 1, 2020 12:00 PM EDT (GMT-4)",Online Event,https://dukegroups.com/events/rsvp?id=869286
Paint-a-Pumpkin,"We provide the pumpkins and paint, you come paint a pumpkin! Plus, bring a pair of headphones/earbuds and jam out to our Silent Disco playlist, handcrafted by DUU Campus Concerts!This event is RSVP only, so make sure you register on DukeGroups. If spaces fill up, or if you're remote this semester, check out our simultaneous Silent Disco event for the link to jam out to some spooky tunes with us!",Social,2,DUU Duke @ Nite,"Fri, Oct 30, 2020",8 PM – 11 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=864129
BYOP Virtual Pumpkin Carve,"Get creative this Halloween with our online pumpkin carving class, music, and laughs!",Social,2,Duke University School of Nursing Student Council,"Fri, Oct 30, 2020",8 PM – 10 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=877403
Halloween Silent Disco,"Didn't RSVP in time for Paint-a-Pumpkin? Studying from home this semester? Don't worry, we've got your Halloweekend Friday night plans covered.Hop on this Discord server with us, and we'll be bumping some Halloween jams for the whole duration of the pumpkin painting event. Grab your own headphones, follow the link, and read the instructions pinned in the chat to start rocking out!",Social,2,DUU Duke @ Nite,"Fri, Oct 30, 2020",8 PM – 11 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=864407
Next In Fashion Binge Club,"Join us at our Binge Club kickoff event, where we'll begin our watching of Next In Fashion, a Netflix series where fashion designers compete to become big in the fashion world!",Social,2,Duke Fashion Exchange,"Fri, Oct 30, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=839398
Brown Table Talks - Hello Fall Edition,"During the school year, our center's round brown table is the center of conversation. We hope to embody that sense of community and conversation outside bi-weekly. We will have discussions, watch movies, and create DIY projects.Food Provided (Food Vouchers from ABP)",Social,2,Mary Lou Williams Center for Black Culture,"Fri, Oct 30, 2020",8 PM – 9:30 PM EDT (GMT-4),Mary Lou Williams Center back Patio,https://dukegroups.com/events/rsvp?id=847536
The Addams Family Screening on West Campus with duArts!,"Join us for an outdoor screening on 10/30 at 7pm and 10pm on West Campus of The Addams Family! Hosted in collaboration with duArts. Capped at 25 people per screening, 50 people total.",Social,2,DUU Freewater Presentations,"Fri, Oct 30, 2020 7:00 PM –","Sat, Oct 31, 2020 1:00 AM EDT (GMT-4)",Private Location (register to display),https://dukegroups.com/events/rsvp?id=878026
BSA Dressing With the Devils,Halloween event hosted by BSA to create community and enjoy the holiday!,Social,2,Black Student Alliance,"Fri, Oct 30, 2020",7 PM – 8:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=879246
Hallows eve-eve,"Dress up in your Halloween best, scariest, funniest, or worst, and join us for an evening showing of the Addams Family. We will start on Zoom and then move to Netflix Party.",Social,2,Blue Devils United,"Fri, Oct 30, 2020",6 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=876882
Graduate Student Paint A Pumpkin Pick Up,Graduate students can start by picking up a pumpkin and paint it at home,Social,2,Duke University Union,"Fri, Oct 30, 2020",3:30 PM – 6:30 PM EDT (GMT-4),BC PLAZA,https://dukegroups.com/events/rsvp?id=865903
Global Cafe,"The IHouse Global Cafe will resume on Friday, September 4 at 10:00 AM (U.S. Eastern Time). This is a weekly social event with the intent to build community between students, employees, post-docs, scholars, and families.This semester, all the meetings will happen virtually on Zoom. Please register via https://bit.ly/ihouse-global-cafe to join.",Social,2,Duke International Student Center,"Fri, Oct 30, 2020",10 AM – 11 AM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=766433
English Conversation Club,"Each Monday, International House provides a casual, small-group setting where all members of the Duke community--students, scholars, spouses, and staff--can practice conversational English.Topics include American culture, social systems, and issues related to daily life. Come and you will have chances to share your experience in the U.S. with others while practicing conversational English with the help of Duke staff volunteers. Through discussions in small groups, you will also learn about other cultures from various countries.In 2020 Fall semester, the English Conversation Club runs every Monday from 7:30 to 8:30pm (Eastern Time) virtually on Zoom. You must reigster through https://bit.ly/ECC-2020-Fall to attend the club. The Zoom link will be available after registration.Please email Ling.jin@duke.edu for more information.",Social,2,Duke International Student Center,"Mon, Oct 26, 2020",7:30 PM – 8:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=766388
Silver Linings Playbook Screening with NAMI!,"Join us for a virtual screening of Silver Linings Playbook with Duke's chapter of National Alliance for Mental Illness, at 9pm on 10/24/2020!",Social,2,DUU Freewater Presentations,"Sat, Oct 24, 2020 9:00 PM –","Sun, Oct 25, 2020 12:00 AM EDT (GMT-4)",Online Event,https://dukegroups.com/events/rsvp?id=869802
GlobeMed Virtual Game Night!,Play virtual games over Zoom with GlobeMed!,Social,2,GlobeMed at Duke,"Sat, Oct 24, 2020",8 PM – 10 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=869431
What's Going on in Africa?,Event (2/2) of DukeAFRICA's Africa Weekend:Join us for a thought-provoking discussion on the current issues across Africa. Students can use this time to reflect and engage in meaningful conversations!,Social,2,DukeAFRICA,"Sat, Oct 24, 2020",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=871344
Next In Fashion Binge Club,"Join us at our Binge Club kickoff event, where we'll begin our watching of Next In Fashion, a Netflix series where fashion designers compete to become big in the fashion world!",Social,2,Duke Fashion Exchange,"Fri, Oct 23, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=839397
AstroDUUke,Join Duke University Union's Non-Programming officers and First-Year Interns in ~outer space~ as we blast off into the final stretch of the semester!,Social,2,Duke University Union,"Fri, Oct 23, 2020",7 PM – 9 PM EDT (GMT-4),Bryan Center Plaza,https://dukegroups.com/events/rsvp?id=867170
The Hate U Give Screening on East Campus Quad!,"Join us for a screening of The Hate U Give on East Campus Quad in front of Baldwin Auditorium! Capped at 25 people per screening, 50 people total.",Social,2,DUU Freewater Presentations,"Fri, Oct 23, 2020 7:00 PM –","Sat, Oct 24, 2020 1:00 AM EDT (GMT-4)",East Campus Quad,https://dukegroups.com/events/rsvp?id=863827
If Beale Street Could Talk on East Campus Quad!,"Join us for a screening of If Beale Street Could Talkif  on East Campus Quad in front of Baldwin Auditorium! Capped at 25 people per screening, 50 people total. This is the new event, postponed from last Friday, 10/16. Second screening begins at 10 pm.",Social,2,DUU Freewater Presentations,"Fri, Oct 23, 2020 7:00 PM –","Sat, Oct 24, 2020 1:00 AM EDT (GMT-4)",East Campus Quad,https://dukegroups.com/events/rsvp?id=868603
Game Night (with Guest Performance from NAKISAI),Event (1/2) of DukeAFRICA's Africa Weekend:Join us for an interactive game night with a guest performance from Nakisai African Dance Ensemble!,Social,2,DukeAFRICA,"Fri, Oct 23, 2020",6:30 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=871288
Global Cafe,"The IHouse Global Cafe will resume on Friday, September 4 at 10:00 AM (U.S. Eastern Time). This is a weekly social event with the intent to build community between students, employees, post-docs, scholars, and families.This semester, all the meetings will happen virtually on Zoom. Please register via https://bit.ly/ihouse-global-cafe to join.",Social,2,Duke International Student Center,"Fri, Oct 23, 2020",10 AM – 11 AM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=766432
Duke@Nite Trivia,"Duke@Nite's regular trivia, in a new online format! Show off your knowledge against your friends and win awesome prizes!This week, we're collaborating with NAMI (National Alliance on Mental Illness) for mental-health themed trivia! Come learn more about mental health and compete for fun prizes!",Social,2,DUU Duke @ Nite,"Thu, Oct 22, 2020",9 PM – 10 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=752452
BGPSA Virtual Throwdown Thursday,Join us for a virtual social mixer! Come play games and meet the community.,Social,2,Black Graduate and Professional Students Association,"Thu, Oct 22, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=872535
Wellness Tea Packs from CommuniTEA,"Receive carefully curated tea bags from CommuniTEA, and join us in virtual tea tasting every Thursday.",Social,2,Duke CommuniTEA,"Thu, Oct 22, 2020",8 AM – 10 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=849257
Chef's Chatter,"Get to know your chefs and learn something new; Enjoy a bite of something good, too!Chat with Residential Dining Sous Chef, James Prince, and enjoy a sampling of butternut squash and apple bisque, a warm and cozy soup with hints of apple to celebrate Autumn!",Social,2,Dining,"Tue, Oct 20, 2020",5 PM – 7 PM EDT (GMT-4),Marketplace Express Food Cart (Outside of East Campus Union),https://dukegroups.com/events/rsvp?id=870422
English Conversation Club,"Each Monday, International House provides a casual, small-group setting where all members of the Duke community--students, scholars, spouses, and staff--can practice conversational English.Topics include American culture, social systems, and issues related to daily life. Come and you will have chances to share your experience in the U.S. with others while practicing conversational English with the help of Duke staff volunteers. Through discussions in small groups, you will also learn about other cultures from various countries.In 2020 Fall semester, the English Conversation Club runs every Monday from 7:30 to 8:30pm (Eastern Time) virtually on Zoom. You must reigster through https://bit.ly/ECC-2020-Fall to attend the club. The Zoom link will be available after registration.Please email Ling.jin@duke.edu for more information.",Social,2,Duke International Student Center,"Mon, Oct 19, 2020",7:30 PM – 8:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=766387
Pediatrics Q & A,"Join us for an information meeting and Q&A with DUSON faculty who have a background in pediatrics. Whether you love working with children, or if you want to learn more about pediatrics to feel more comfortable with this population, this event is for you! ** Event will be recorded for those unable to attend.",Social,2,Neonatal and Pediatric Students,"Sun, Oct 18, 2020",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=850197
Stroll to the Polls with Jewish Life,"Join Jewish Life at Duke for early voting! We'll be meeting up at the West Campus bus stop on Sunday, October 18, the first Sunday of early voting in North Carolina. Plan to walk down to the Karsh Alumni Center and to cast your ballot. We have ""mystery"" stickers for you, too! Join us and cast your mitzvote!",Social,2,Jewish Life at Duke,"Sun, Oct 18, 2020",2 PM – 3 PM EDT (GMT-4),West Campus Bus Stop,https://dukegroups.com/events/rsvp?id=864896
General Body Meeting,Come vibe with BDU :),Social,2,Blue Devils United,"Sun, Oct 18, 2020",1 PM – 2 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=869281
JLD Movie Night: You Don't Mess With The Zohan,"Movie Night with JLD!Saturday, October 17th, 7:30pmCome join us at the Freeman Center patio for a movie night under the stars! Our Israel Fellow, Reuven Remez, is screening the classic film ""You Don't Mess with the Zohan!"" Bring a blanket, your mask and prepare for some socially distant fun.  Sponsored by Jewish Life at Duke and the Duke Libraries.",Social,2,Jewish Life at Duke,"Sat, Oct 17, 2020",7:30 PM – 9 PM EDT (GMT-4),Freeman Center for Jewish Life,https://dukegroups.com/events/rsvp?id=864865
Next In Fashion Binge Club,"Join us at our Binge Club kickoff event, where we'll begin our watching of Next In Fashion, a Netflix series where fashion designers compete to become big in the fashion world!",Social,2,Duke Fashion Exchange,"Fri, Oct 16, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=839396
