title,details,type,type_id,host,date,time,location,link
Body Project,"Are you interested in exploring body positivity and body confidence? Sign up for the Body Project which is a FREE interactive women's empowerment workshop.Dates: February 28th and March 2ndLocation: Student Wellness Center Room 150Time: 3:00PM-5:00PMThis workshop provides a forum for female students to confront unrealistic beauty ideals and engage them in the development of healthy body image through verbal, written, and behavioral exercises",Workshop/Short Course,3,Student Wellness Center,"Fri, Feb 28, 2020",3 PM – 5 PM EST (GMT-5),"Student Wellness Center Room 150 (First Floor, Beside the Pharmacy)",https://dukegroups.com/events/rsvp?id=687083
Sign language Workshop,Zeta Phi Beta Sorority Incorporated wants to offer an event centered around inclusivity and allowing Duke students to tap into spheres they wouldn't usually interact with on their daily life surrounded around ability. We believe that ability is a discussion to constantly be had in our community and Zeta wants to bring this to light.,Workshop/Short Course,3,"Zeta Phi Beta Sorority, Inc.","Wed, Feb 26, 2020",6 PM – 7 PM EST (GMT-5),Social Sciences 136,https://dukegroups.com/events/rsvp?id=662177
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Feb 25, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676207
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Feb 25, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676216
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Feb 25, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676198
Figure Drawing,"Want to practice your drawing skills? Interested in learning about figure drawing? Need reference material for an art class at Duke?DUU VisArts will be holding free weekly Figure Drawing workshops as a resource for Duke students and faculty looking to hone their drawing skills or to learn drawing skills!Instructor led sessions with Paige Welch will take place the first Monday of each month. Drawing supplies will be provided, please bring your Duke ID to each workshop.RSVP here: bit.ly/309hCOx",Workshop/Short Course,3,DUU Visual Arts Committee,"Mon, Feb 24, 2020",6 PM – 7:30 PM EST (GMT-5),"Smith Warehouse, Bay 12, Room 200",https://dukegroups.com/events/rsvp?id=670142
P&G Case Study Competition,"P&G is hosting a case study competition at Duke! You can register individually (we will randomly assign teams) or in teams of 3, and you will be given a real-life P&G challenge on the spot. You will then be given preparation time before presenting your team's solution to P&G representatives. No experience in case prepping is necessary for this competition! There will be prizes for the winners (guaranteed first-round interviews and gift cards), and refreshments will be provided throughout the competition. This is a great experience to add to your resume if you are interested in finance, marketing, operations, consulting or general business! This event is geared toward first-years and sophomores.",Workshop/Short Course,3,Duke Association for Business Oriented Women,"Sun, Feb 23, 2020",12 PM – 4 PM EST (GMT-5),"Soc Sci 136, 119, 124, 311, 327",https://dukegroups.com/events/rsvp?id=683042
Street Medicine February Workshop,"Join Street Medicine, Duke's premier urban dance group, for a workshop open to all Duke students on February 22nd at the Arts Annex! Comfortable clothes and shoes are strongly recommended.",Workshop/Short Course,3,Street Medicine,"Sat, Feb 22, 2020",12 PM – 4 PM EST (GMT-5),Arts Annex,https://dukegroups.com/events/rsvp?id=685811
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Feb 18, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676206
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Feb 18, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676215
PACT Session II,"PACT is an interactive, student-facilitated training sponsored by the Women's Center that aims to engage everyone in preventing gender violence on Duke's campus. PACT Training helps students identify situations of concern, and provides knowledge and tools to encourage safe and successful interventions.***YOU MUST COMPLETE BOTH SESSIONS TO COMPLETE THE PROGRAM***",Workshop/Short Course,3,Women's Center,"Tue, Feb 18, 2020",6 PM – 8:30 PM EST (GMT-5),Women's Center,https://dukegroups.com/events/rsvp?id=643775
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Feb 18, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676197
Figure Drawing,"Want to practice your drawing skills? Interested in learning about figure drawing? Need reference material for an art class at Duke?DUU VisArts will be holding free weekly Figure Drawing workshops as a resource for Duke students and faculty looking to hone their drawing skills or to learn drawing skills!Instructor led sessions with Paige Welch will take place the first Monday of each month. Drawing supplies will be provided, please bring your Duke ID to each workshop.RSVP here: bit.ly/309hCOx",Workshop/Short Course,3,DUU Visual Arts Committee,"Mon, Feb 17, 2020",6 PM – 7:30 PM EST (GMT-5),"Smith Warehouse, Bay 12, Room 200",https://dukegroups.com/events/rsvp?id=670141
DUU General Body Meeting,DUU's 3rd General Body MeetingFood Provided (Foster's Market),Workshop/Short Course,3,Duke University Union,"Wed, Feb 12, 2020",6 PM – 7:30 PM EST (GMT-5),Ruby Lounge,https://dukegroups.com/events/rsvp?id=682476
PACT Session I,"PACT is an interactive, student-facilitated training sponsored by the Women's Center that aims to engage everyone in preventing gender violence on Duke's campus. PACT Training helps students identify situations of concern, and provides knowledge and tools to encourage safe and successful interventions.***YOU MUST COMPLETE BOTH SESSIONS TO COMPLETE THE PROGRAM***",Workshop/Short Course,3,Women's Center,"Tue, Feb 11, 2020",6 PM – 8:30 PM EST (GMT-5),Women's Center,https://dukegroups.com/events/rsvp?id=643772
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Feb 11, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676195
Figure Drawing,"Want to practice your drawing skills? Interested in learning about figure drawing? Need reference material for an art class at Duke?DUU VisArts will be holding free weekly Figure Drawing workshops as a resource for Duke students and faculty looking to hone their drawing skills or to learn drawing skills!Instructor led sessions with Paige Welch will take place the first Monday of each month. Drawing supplies will be provided, please bring your Duke ID to each workshop.RSVP here: bit.ly/309hCOx",Workshop/Short Course,3,DUU Visual Arts Committee,"Mon, Feb 10, 2020",6 PM – 7:30 PM EST (GMT-5),"Smith Warehouse, Bay 12, Room 200",https://dukegroups.com/events/rsvp?id=670139
One Love Escalation Film & Workshop: Recognizing Intimate Partner Violence,"DSG will host Duke One Love for an informational training. One Love will use video content created by the national chapter of One Love to provide realistic examples of unhealthy relationships between young people. After the video content, there will be small group discussions of the films lead by One Love facilitators to break down the patterns, themes, and lessons in the films, focusing most intensely on the warning signs displayed as well as possible strategies to address intimate partner violence.",Workshop/Short Course,3,Duke Student Government,"Thu, Feb 6, 2020",5:30 PM – 7 PM EST (GMT-5),"Social Psychology Building, Room 129",https://dukegroups.com/events/rsvp?id=661140
Figure Drawing,"Want to practice your drawing skills? Interested in learning about figure drawing? Need reference material for an art class at Duke?DUU VisArts will be holding free weekly Figure Drawing workshops as a resource for Duke students and faculty looking to hone their drawing skills or to learn drawing skills!Instructor led sessions with Paige Welch will take place the first Monday of each month. Drawing supplies will be provided, please bring your Duke ID to each workshop.RSVP here: bit.ly/309hCOx",Workshop/Short Course,3,DUU Visual Arts Committee,"Mon, Feb 3, 2020",6 PM – 7:30 PM EST (GMT-5),"Smith Warehouse, Bay 12, Room 200",https://dukegroups.com/events/rsvp?id=670030
PACT Session II,"PACT is an interactive, student-facilitated training sponsored by the Women's Center that aims to engage everyone in preventing gender violence on Duke's campus. PACT Training helps students identify situations of concern, and provides knowledge and tools to encourage safe and successful interventions.***YOU MUST COMPLETE BOTH SESSIONS TO COMPLETE THE PROGRAM***",Workshop/Short Course,3,Women's Center,"Tue, Jan 21, 2020",6 PM – 8:30 PM EST (GMT-5),Women's Center,https://dukegroups.com/events/rsvp?id=643774
PACT Session I,"PACT is an interactive, student-facilitated training sponsored by the Women's Center that aims to engage everyone in preventing gender violence on Duke's campus. PACT Training helps students identify situations of concern, and provides knowledge and tools to encourage safe and successful interventions.***YOU MUST COMPLETE BOTH SESSIONS TO COMPLETE THE PROGRAM***",Workshop/Short Course,3,Women's Center,"Tue, Jan 14, 2020",6 PM – 8:30 PM EST (GMT-5),Women's Center,https://dukegroups.com/events/rsvp?id=643770
GANO Virtual Tutoring,Every Tuesday and Thursday from 6:30-7:30 we will be facilitating free English tutoring from Duke students for the local Hispanic community via Zoom!  All tutors and tutees will join our main Zoom link and then be paired off into breakout rooms for the hour.,Workshop/Short Course,3,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 5, 2020",6:30 PM – 7:30 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=783998
DASL Weekly Lessons,Every week we will be holding ASL lessons!,Workshop/Short Course,3,Duke ASL,"Thu, Nov 5, 2020",6 PM – 7 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=771138
Negotiating Job Offers with Confidence,"In this workshop you will learn how to evaluate and negotiate components of a job offer. You will also practice how to identify your value, conduct market research to benchmark salary/benefits and role-play scenarios using effective responses and strategies. This workshop is useful for those targeting any type of industry, including academia.[]",Workshop/Short Course,3,Career Center,"Thu, Nov 5, 2020",12 PM – 12:45 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=873217
GANO Virtual Tutoring,Every Tuesday and Thursday from 6:30-7:30 we will be facilitating free English tutoring from Duke students for the local Hispanic community via Zoom!  All tutors and tutees will join our main Zoom link and then be paired off into breakout rooms for the hour.,Workshop/Short Course,3,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 3, 2020",6:30 PM – 7:30 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=783997
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Nov 3, 2020",6 PM – 7 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=808659
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Nov 3, 2020",6 PM – 7 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=808668
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Nov 3, 2020",6 PM – 7 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=808677
Ballroom Dance Workshop,"Join us for our free weekly virtual ballroom dance workshops! We will be teaching a variety of technique, choreo, and dance styles like Cha Cha, Swing, Waltz, Foxtrot, and more! No partner or experience required~ Check out our website for more information about us and to see our class calendar. https://sites.duke.edu/dukeballroomdance/",Workshop/Short Course,3,Club Ballroom Dance,"Sun, Nov 1, 2020",2 PM – 3 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=812233
Art of Human Being Workshop,"This one-hour workshop will focus on meditation and expressive writing, led by the co-founders of Art of Human Being.",Workshop/Short Course,3,Her Campus Duke,"Sun, Nov 1, 2020",12 PM – 1 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=872882
Ballroom Dance Workshop,"Join us for our free weekly virtual ballroom dance workshops! We will be teaching a variety of technique, choreo, and dance styles like Cha Cha, Swing, Waltz, Foxtrot, and more! No partner or experience required~ Check out our website for more information about us and to see our class calendar. https://sites.duke.edu/dukeballroomdance/",Workshop/Short Course,3,Club Ballroom Dance,"Fri, Oct 30, 2020",2 PM – 3 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=812232
Spring 2021 CEF Funding Mandatory Info Session,Mandatory information sessions for CEF funding for spring 2021Register here: https://cutt.ly/cef-2021-session3More information can be found here: https://studentaffairs.duke.edu/cma/cultural-engagement-fund,Workshop/Short Course,3,Center for Multicultural Affairs,"Fri, Oct 30, 2020",12:30 PM – 1 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=866946
GANO Virtual Tutoring,Every Tuesday and Thursday from 6:30-7:30 we will be facilitating free English tutoring from Duke students for the local Hispanic community via Zoom!  All tutors and tutees will join our main Zoom link and then be paired off into breakout rooms for the hour.,Workshop/Short Course,3,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Oct 29, 2020",6:30 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=783996
DASL Weekly Lessons,Every week we will be holding ASL lessons!,Workshop/Short Course,3,Duke ASL,"Thu, Oct 29, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=771137
Reckoning with Race: Why & How Black Lives Matter - Part 2,"In part 2 of 2, we will begin exploring with participants the importance of moving from aframework of ""not-racist"" to one of ""anti-racist"", and challenge them to explore the nextsteps. Facilitators will: challenge participants to consider how anti-racist principles applyto them; use design-thinking principles to help participants consider how anti-racistsystems could operate in personal & professional settings; and consider ways thesesystems could be disrupted.",Workshop/Short Course,3,Mary Lou Williams Center for Black Culture,"Thu, Oct 29, 2020",6 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=838097
Spring 2021 CEF Funding Mandatory Info Session,Mandatory information sessions for CEF funding for spring 2021Register here: https://cutt.ly/cef-2021-session2More information can be found here: https://studentaffairs.duke.edu/cma/cultural-engagement-fund,Workshop/Short Course,3,Center for Multicultural Affairs,"Thu, Oct 29, 2020",4:30 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=866941
Spring 2021 CEF Funding Mandatory Info Sessions,Mandatory information sessions for CEF funding for spring 2021Register here: https://cutt.ly/cef-2021-session1More information can be found here: https://studentaffairs.duke.edu/cma/cultural-engagement-fund,Workshop/Short Course,3,Center for Multicultural Affairs,"Thu, Oct 29, 2020",4 PM – 4:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=866937
GANO Virtual Tutoring,Every Tuesday and Thursday from 6:30-7:30 we will be facilitating free English tutoring from Duke students for the local Hispanic community via Zoom!  All tutors and tutees will join our main Zoom link and then be paired off into breakout rooms for the hour.,Workshop/Short Course,3,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Oct 27, 2020",6:30 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=783995
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Oct 27, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=808658
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Oct 27, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=808667
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Oct 27, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=808676
"Women's Center Presents: ""Ain't it"" #MeToo","From Sojourner Truth to Tarana Burke, women of color, specifically black women are often left out of the conversation on matters from gender equity to gender violence. They are seldom acknowledged in the Black Lives Matter movement. This session will introduce to participants how gender violence effect women of color, how it is has been a part of history, and how women of color are often at the forefront of movements but rarely receive credit. The session will also examine ways to uplift women of color and explore allyship.",Workshop/Short Course,3,Women's Center,"Tue, Oct 27, 2020",6 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=828199
Anti-Racism in the Queer Community Workshop,"This event will be led by Build from the Heart, a local Durham organization that works to center racial and gender equity while building compassionate community. We will be examining how racism and anti-Blackness manifest in the queer community, and discussing practical steps/actions toward being anti-racist as a member of this community.",Workshop/Short Course,3,Duke Med Pride,"Tue, Oct 27, 2020",5:30 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=824266
People of Color (POC) Koru Mindfulness Class Starting: October 26th | 3:00pm - 4:15 pm,"Developed right here at Duke, Koru Mindfulness is an evidence-based program specifically designed for teaching mindfulness and meditation as way to manage stress and reduce anxiety.You will learn specific skills that help calm and focus your mind, including breathing exercises, guided imagery, body scan, and more.This space is for students who identify as a person of color (POC).",Workshop/Short Course,3,Student Wellness Center,"Mon, Oct 26, 2020",3 PM – 4:15 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=828815
Ballroom Dance Workshop,"Join us for our free weekly virtual ballroom dance workshops! We will be teaching a variety of technique, choreo, and dance styles like Cha Cha, Swing, Waltz, Foxtrot, and more! No partner or experience required~ Check out our website for more information about us and to see our class calendar. https://sites.duke.edu/dukeballroomdance/",Workshop/Short Course,3,Club Ballroom Dance,"Sun, Oct 25, 2020",2 PM – 3 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=812231
Reckoning with Race: Why & How Black Lives Matter - Part 1,"We find ourselves at a unique moment in history, during a period of unprecedentedinternational unrest over racial equity and anti-Black racism, and a national call to action to confront our legacy of White supremacy. In this training, part 1 of 2, we will explore thefoundations of why and how we got here. Facilitators will: provide participants with keyknowledge of concepts and terms related to power, race, privilege, justice, and equity;briefly explore the history of anti-Black social and political policies that have contributed to inequality; and help participants understand that our present moment is rooted far beyond our present time.",Workshop/Short Course,3,Mary Lou Williams Center for Black Culture,"Fri, Oct 23, 2020",6 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=838067
Sewable Circuits,Join the Innovation Co-Lab for a basic introduction to sewing with conductive thread and LEDs.  You will build a simple circuit that when complete will illuminate the LEDs. No experience with sewing required! We'll be sewing by hand and all materials will be provided. Take a break from looking at a computer screen and try this tactile form of creativity using technology. Each attendee will be able to bring their circuit home with them.This class will be hosted via Zoom. You will receive an email with the Zoom link a day before the class. Attendance will be taken and the session will be recorded.,Workshop/Short Course,3,Duke Arts Create,"Fri, Oct 23, 2020",3 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=852450
Shift Happens: How to Build Flexible Career Plans in Uncertain Times,"Now, more than ever, career planning should involve preparing for multiple possibilities. So, how do you  prepare for your dream job and also devise plans B and C to keep multiple options open? This session will help you begin the process of exploring career options, identifying transferable skills, and determining a plan for organizing and taking next steps.  Registration required in",Workshop/Short Course,3,Career Center,"Fri, Oct 23, 2020",10 AM – 10:45 AM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=864521
GANO Virtual Tutoring,Every Tuesday and Thursday from 6:30-7:30 we will be facilitating free English tutoring from Duke students for the local Hispanic community via Zoom!  All tutors and tutees will join our main Zoom link and then be paired off into breakout rooms for the hour.,Workshop/Short Course,3,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Oct 22, 2020",6:30 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=783994
DASL Weekly Lessons,Every week we will be holding ASL lessons!,Workshop/Short Course,3,Duke ASL,"Thu, Oct 22, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=771136
Koru Mindfulness 2.0 Class Starting: October 22nd | 3:00pm - 4:15 pm,"Students must have completed Koru Basic before registering for 2.0.Developed right here at Duke, Koru Mindfulness is an evidence-based program specifically designed for teaching mindfulness and meditation as way to manage stress and reduce anxiety.You will learn specific skills that help calm and focus your mind, including breathing exercises, guided imagery, body scan, and more.",Workshop/Short Course,3,Student Wellness Center,"Thu, Oct 22, 2020",3 PM – 4:15 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=847217
GANO Virtual Tutoring,Every Tuesday and Thursday from 6:30-7:30 we will be facilitating free English tutoring from Duke students for the local Hispanic community via Zoom!  All tutors and tutees will join our main Zoom link and then be paired off into breakout rooms for the hour.,Workshop/Short Course,3,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Oct 20, 2020",6:30 PM – 7:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=783993
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Oct 20, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=808657
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Oct 20, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=808666
DASL Tuesday Night Meetings,"We will watch the recorded class from the previous Thursday. You can come if you went to the Thursday class and want more practice, or if you were unable to attend the Thursday class. We will release the recorded video for everyone to be able to watch on their own on Wednesday!",Workshop/Short Course,3,Duke ASL,"Tue, Oct 20, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=808675
Rhythm for Producers,"Join Brooks Frederickson, PhD candidate in the Duke music department, for this second in a series of workshops designed to increase your understanding around the theoretical fundamentals of music through examples pulled from current indie, pop, EDM, and hip-hop hits. Producers are encouraged to follow along with their Digital Audio Workstation (DAW) of choice–Ableton, Logic, Garageband, Reaper, Pro Tools, etc.No prior music theory background or experience needed, all are welcome!",Workshop/Short Course,3,Duke Arts Create,"Mon, Oct 19, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=852408
